Completion_Status_Not_started_Done_In_progress,Due_date_start,Due_date_end,Due_date_time_zone,Area_Notion2Sheets_Love_Landing_Pages_Fitness_GoogleRSS_Misc_High_Prio_Travel_Goals_NotionGPT_AlexAI_Organize_digital_life,Task
Not started,2023-07-09,2023-07-11,,Fitness,Sprint extension
Done,2023-11-13,2023-11-13,,GoogleRSS,Clickable saved searches
Not started,2023-11-20,2023-11-20,,High Prio,Message Airbnb
Done,2023-07-06,2023-07-06,,High Prio,Follow up with IMMI
Done,2023-10-28,2023-10-28,,Travel,Find facepaint for today
Done,2023-10-26,2023-10-26,,Fitness,Ran 5K 
Done,2023-07-10,2023-07-10,,High Prio,Follow up on RMA toll license plate conversation 
Done,2023-10-17,2023-10-17,,Love,Perú vs Argentina - Giani
Not started,2023-08-31,2023-08-31,,Misc,Respond to Elizabeth 
Not started,,,,GoogleRSS,Sprint 3
Done,2023-10-26,2023-10-26,,NotionGPT,Completed Menu Template for NotionGPT
Done,2023-10-28,2023-10-28,,Fitness,Ran 5K 
Done,2023-10-20,2023-10-20,,Fitness,Ran 5k
Done,2023-10-29,2023-10-29,,NotionGPT,Updated the Bot formatting for the chat page
Done,2023-10-28,2023-10-28,,High Prio,Cancel sending automatic to NEAL Phone
Done,2023-06-30,2023-06-30,,GoogleRSS,Sidebar
Done,2023-11-10,2023-11-10,,Love,Talk to Ami
Done,2023-11-18,2023-11-18,,Misc,Filled out flight information
Done,2023-11-13,2023-11-13,,GoogleRSS,Fix the Saved Search Bug
Not started,2023-07-02,2023-07-08,,Travel,SF? ~~ Schedule events (what do I want to accomplish? 
Done,2023-07-01,2023-07-01,,GoogleRSS,Logo
Done,2023-07-02,2023-07-02,,GoogleRSS,Create Sidebar
Done,2023-09-19,2023-09-23,,NotionGPT,Add ability to save pages
Done,2023-11-08,2023-11-08,,Travel,Spend time with Marjorie
Not started,2023-09-26,2023-09-26,,Goals,Daily plan
Done,2023-11-19,2023-11-19,,Misc,Message Jen with voice message
Not started,2023-07-07,2023-07-07,,GoogleRSS,Connect Website to Vercel
In progress,,,,GoogleRSS,Create folder
Done,2023-10-27,2023-10-27,,NotionGPT,Finish top menu for Notion GPT
Not started,2023-12-02,2023-12-02,,Travel,Go to SF to connect with Ami
Not started,2023-08-29,2023-08-29,,Fitness,Midnight runners 
Not started,2023-07-24,2023-07-29,,Travel,Find place to stay
Done,2023-07-13,2023-07-13,,GoogleRSS,Create a delete search into Mongo DB
Not started,2023-07-22,2023-07-22,,GoogleRSS,Sprint 2 - Google RSS v1.0
Done,2023-10-10,2023-10-10,,Travel,Call with Bruno
Not started,2023-11-20,2023-11-20,,Travel,"Figure out plans for SF (Where to stay, etc) "
Done,,,,GoogleRSS,Authentication
Not started,2023-09-03,2023-09-03,,Travel,Last day in Costa Rica
Not started,2023-08-31,2023-08-31,,Travel,Board game meetup
Done,2023-10-19,2023-10-19,,Landing Pages,Created landing page prototype 
Done,2023-07-16,2023-07-16,,GoogleRSS,Connect domain name
Done,2023-09-17,2023-09-17,,NotionGPT,Read the current page
Not started,,,,NotionGPT,Misc updates
Done,2023-11-08,2023-11-08,,Travel,Prepare for Tarapoto
Not started,2023-06-11,2023-06-17,,Travel,Travel to East side of Island
Not started,2023-06-18,2023-06-25,,Travel,Japan? 
Not started,2023-09-07,2023-09-07,,Travel,Spanglish Thursday Language Exchange Palermo - Every Thursday - 
Not started,2023-05-28T00:00:00.000-03:00,2023-05-28T00:00:00.000-03:00,,Travel,Talk to Nikita
Done,2023-07-26,2023-07-26,,Misc,Pick up all Amazon items 
Done,2023-10-17,2023-10-17,,Landing Pages,Create compelling headline image 
Done,2023-07-06,2023-07-06,,High Prio,Get Amazon locker items
Not started,2023-09-16,2023-09-16,,Travel,figure out travel plan.. 
Done,2023-10-18,2023-10-22,,Landing Pages,Create all components
Not started,2023-09-06,2023-09-06,,GoogleRSS,Created a folder with delete reorder 
Done,2023-09-16,2023-09-18,,NotionGPT,Build all API tools
Done,2023-06-22,2023-06-22,,GoogleRSS,Display links in accruactly in Feed
Not started,2023-11-18,2023-11-18,,GoogleRSS,What would it take? 
Done,2023-10-28,2023-10-28,,NotionGPT,Swapped out the environmental values for menu values 
Not started,,,,GoogleRSS,Add logout button 
Done,2023-06-22,2023-06-22,,GoogleRSS,Get results from Searchbar
Done,2023-06-30,2023-06-30,,GoogleRSS,Backend
Not started,,,,GoogleRSS,Additional Features
Done,2023-11-17,2023-11-17,,Misc,Reminder to Sister to bring citizenship
Done,2023-09-17,2023-09-19,,NotionGPT,Read current database
Done,2023-11-19,2023-11-19,,Misc,Cancelled Disney +
Done,2023-11-13,2023-11-13,,GoogleRSS,Fixed UI so twitter looks nicer
Not started,,,,GoogleRSS,Add mixer options?
Done,2023-11-13,2023-11-13,,GoogleRSS,Sidebar is now fixed
Done,2023-06-21,2023-06-21,,GoogleRSS,Get Google Search Credentials
Done,2023-10-20,2023-10-20,,Travel,Researched Ayuhawaska in Peru
